Address,Phone_number,School_Name,School_Type,Suburb,URL,Rating
"5a Carrington Road, Reservoir VIC 3073",03 9478 8211,Reservoir West Primary School,Primary,Reservoir,http://www.rwps.vic.edu.au/,3
"111 Forest Road, Ferntree Gully VIC 3156",03 9758 1662,Ferntree Gully North Primary School,Primary,Ferntree Gully,http://ferntree.vic.edu.au/,2.8
"Willett Avenue, Oak Park VIC 3046",03 9306 9182,Oak Park Primary School,Primary,Oak Park,https://teamkids.com.au/venues/oak-park-primary-oshc/,4.6
"117-125 Cleeland Street, Dandenong VIC 3175",03 9794 7899,Dandenong North Primary School,Primary,Dandenong,http://www.dandenongnorthps.vic.edu.au/,3.9
"495 Princes Hwy, Noble Park VIC 3174",03 9546 9210,Harrisfield Primary School,Primary,Noble Park,http://harrisfield.ps.vic.edu.au/,4.2
"Kent Road, Pascoe Vale VIC 3044",03 9354 3343,Pascoe Vale North Primary School,Primary,Pascoe Vale,http://www.pvnps.vic.edu.au/,4.2
"28 Dorothy Avenue, Belmont VIC 3216",03 5243 1613,Oberon Primary School,Primary,Belmont,http://www.oberonps.vic.edu.au/,3.2
"Cnr Elizabeth & King Streets, Moe VIC 3825",03 5127 2607,Moe Primary School,Primary,Moe,http://www.aspsmoe.vic.edu.au/,4
"7-17 Station Avenue, St Albans VIC 3021",03 9366 2071,St Albans East Primary School,Primary,St Albans,http://www.saeps.vic.edu.au/,4.8
"Silver Street, Cheltenham VIC 3192",03 9583 5746,Cheltenham East Primary School,Primary,Cheltenham,http://www.cheltenhameast.vic.edu.au/,3.8
"87 - 91 Grand Boulevard, Craigieburn VIC 3064",03 9308 1228,Craigieburn Primary School,Primary,Craigieburn,http://www.craigieburnps.vic.edu.au/,3.1
"Towerhill Road, Frankston VIC 3199",03 9783 8777,Overport Primary School,Primary,Frankston,http://www.overport-ps.vic.edu.au/,3.8
"32 St Leonards Ave, Yarraville VIC 3013",03 9314 7054,Wembley Primary School,Primary,Yarraville,http://www.wembleyps.vic.edu.au/,4.3
"959 Heatherton Road, Springvale VIC 3171",03 9546 7562,Heatherhill Primary School,Primary,Springvale,http://www.heatherhillps.vic.edu.au/,4.7
"Wood Street, Beaumaris VIC 3193",03 9589 5449,Beaumaris North Primary School,Primary,Beaumaris,http://www.beaumarisnorthps.vic.edu.au/,3.5
"27 Liege Avenue, Noble Park VIC 3174",03 9792 4406,Yarraman Oaks Primary School,Primary,Noble Park,http://www.yarramanoaksps.vic.edu.au/,4.4
"Mt Pleasant Road, Nunawading VIC 3131",03 9878 1730,Mount Pleasant Road Nunawading Primary School,Primary,Nunawading,http://www.mtpleasantroadps.vic.edu.au/,4.2
"York Street, Glenroy VIC 3046",03 9306 8955,Glenroy West Primary School,Primary,Glenroy,http://www.glenroywestps.vic.edu.au/,4.4
"52 Kirkham Road, Dandenong VIC 3175",03 9792 3726,Dandenong South Primary School,Primary,Dandenong,http://www.dandenong-south-ps.vic.edu.au/,4
"George Street, St Albans VIC 3021",03 9366 2029,St Albans North Primary School,Primary,St Albans,http://www.stalbansnth.vic.edu.au/,2.5
"Clarendon St, Avondale Heights VIC 3034",03 9318 1755,Avondale Primary School,Primary,Avondale Heights,http://www.avondaleps.vic.edu.au/,4.2
"10 Kalmia Street, Frankston VIC 3199",03 9783 4988,Frankston Heights Primary School,Primary,Frankston,http://www.frankstonhts-ps.vic.edu.au/,4
"82 Cedar Street, Thomastown VIC 3074",03 9465 3032,Thomastown East Primary School,Primary,Thomastown,http://www.thomastown-east-ps.vic.edu.au/,4.4
"36 Solomon Street, Mount Waverley VIC 3149",03 9807 8120,Mount Waverley Heights Primary School,Primary,Mount Waverley,http://mountwaverleyheightsps.vic.edu.au/,4
"Robert Street, Parkdale VIC 3195",03 9580 1207,Parktone Primary School,Primary,Parkdale,http://www.parktoneps.vic.edu.au/,4.8
"631-639 Whitehorse Road, Mitcham VIC 3132",03 9874 4371,Antonio Park Primary School,Primary,Mitcham,http://www.antoniops.vic.edu.au/,4.7
"Broadmeadows Road, Tullamarine VIC 3043",03 9338 2826,Tullamarine Primary School,Primary,Tullamarine,http://www.tullaps.vic.edu.au/,5
"12 - 14 Florence Street, Blackburn VIC 3130",03 9894 2855,Blackburn Lake Primary School,Primary,Blackburn,http://www.blps.vic.edu.au/,3.5
"Janet Street, Blackburn VIC 3130",03 9898 5811,Laburnum Primary School,Primary,Blackburn,http://www.laburnumps.vic.edu.au/,3.2
"370-380 Springvale Road, Donvale VIC 3111",03 9842 8319,Heatherwood School,Special,Donvale,http://www.heatherwood.vic.edu.au/,3.5
"27-35 Pinewood Drive, Mount Waverley VIC 3149",03 8847 3200,Pinewood Primary School,Primary,Mount Waverley,http://www.pinewood-ps.vic.edu.au/,4.3
"62-70 Blair Street, Broadmeadows VIC 3047",03 9302 6060,Broadmeadows Primary School,Primary,Broadmeadows,http://www.bps.vic.edu.au/,4.4
"111 Anderson Road, Fawkner VIC 3060",03 9359 2028,Moomba Park Primary School,Primary,Fawkner,http://www.moombaparkps.vic.edu.au/,4.1
