Postcode,Suburb,Distance (km),Direction
3719,Yarck,98.3,North-east
3350,Mount Clear,99.2,West
3350,Nerrina,99.4,West
3352,Invermay,99.5,West
3833,Icy Creek,99.9,East
3241,Wensleydale,100.1,South-west
3822,Darnum,100.2,East
3350,Black Hill,100.3,West
3350,Bakery Hill,100.6,West
3352,Magpie,100.7,West
3352,Napoleons,101,West
3350,Mount Pleasant,101.2,West
3350,Soldiers Hill,101.5,West
3356,Sebastopol,101.7,West
3523,Heathcote,101.8,North
3350,Invermay Park,102,West
3950,Korumburra,102,South-east
3350,Ballarat,102.2,West
3350,Ballarat Central,102.2,West
3461,Yandoit,102.2,North-west
3350,Redan,102.5,West
3350,Golden Point,102.7,North-west
3350,Lake Wendouree,102.8,West
3364,Allendale,103.1,West
3350,Newington,103.3,West
3231,Aireys Inlet,103.6,South-west
3363,Creswick,103.7,West
3995,Wonthaggi,103.8,South-east
3451,Chewton,104,North-west
3451,Yapeen,104.2,North-west
3355,Wendouree,104.3,West
3352,Mount Rowan,104.4,West
3451,Campbells Creek,104.5,North-west
3951,Kardella,104.5,South-east
3350,Alfredton,104.9,West
3356,Delacombe,104.9,West
3352,Enfield,104.9,West
3355,Lake Gardens,105,West
3352,Sulky,105.1,West
3664,Avenel,105.3,North
3713,Eildon,105.5,North-east
3823,Yarragon,105.8,East
3231,Fairhaven,106.2,South-west
3450,Castlemaine,106.4,North-west
3352,Dereel,106.7,West
3351,Ross Creek,107.3,West
3351,Smythes Creek,108,West
3352,Miners Rest,108.7,West
3352,Mitchell Park,109.3,West
3330,Rokewood,109.8,West
3453,Harcourt,110,North-west
3825,Willow Grove,110.5,East
3995,Cape Paterson,111.4,South-east
3352,Cardigan,111.8,West
3352,Cardigan Village,111.8,West
3462,Newstead,112,North-west
3351,Haddon,112.3,West
3996,Inverloch,113.1,South-east
3953,Leongatha,113.3,South-east
3824,Trafalgar,113.4,East
3351,Smythesdale,114.2,West
3715,Merton,114.3,North-east
3235,Deans Marsh,114.5,South-west
3608,Nagambie,115.7,North
3351,Scarsdale,116.3,West
3723,Kevington,117.4,East
3720,Bonnie Doon,118.2,North-east
3723,Jamieson,118.2,East
3232,Lorne,118.5,South-west
3954,Koonwarra,118.6,South-east
3352,Learmonth,118.6,West
3242,Birregurra,118.7,West
3370,Clunes,118.8,West
3835,Thorpdale,118.8,East
3322,Cressy,119.2,West
3665,Longwood,119.8,North
3723,Goughs Bay,120.3,North-east
3463,Maldon,120.6,North-west
3825,Moe,121.2,East
3352,Burrumbeet,121.3,West
3453,Ravenswood,121.8,North-west
3723,Howqua Inlet,122.3,North-east
3723,Maindample,122.8,North-east
3825,Newborough,123.3,East
3352,Addington,123.5,West
3251,Beeac,123.5,West
3351,Snake Valley,123.5,West
3723,Macs Cove,123.6,North-east
3360,Linton,124.1,West
3956,Venus Bay,124.4,South-east
3825,Erica,125,East
3956,Meeniyan,125.2,South-east
3551,Strathfieldsaye,125.3,North-west
3551,Mandurang,125.4,North-west
3352,Waubra,127.2,West
3352,Waubra,127.2,West
3723,Howqua,127.5,East
3723,Howqua,127.5,East
3551,Junortoun,127.9,North-west
3551,Junortoun,127.9,North-west
3243,Barwon Downs,128.2,South-west
3243,Barwon Downs,128.2,South-west
3550,Spring Gully,128.5,North-west
3550,Spring Gully,128.5,North-west
3666,Euroa,129.5,North-east
3550,Flora Hill,129.5,North-west
3666,Euroa,129.5,North-east
3550,Flora Hill,129.5,North-west
3555,Kangaroo Flat,129.9,North-west
3555,Kangaroo Flat,129.9,North-west
3550,Quarry Hill,130.2,North-west
3550,Strathdale,130.2,North-west
3550,Quarry Hill,130.2,North-west
3550,Strathdale,130.2,North-west
