Geometry,Number of Records,Population,REGION,Suburb
MULTIPOLYGON,1,30,Metropolitan Region,Elsternwick
MULTIPOLYGON,1,19,Metropolitan Region,Eltham (Vic.)
MULTIPOLYGON,1,6,Metropolitan Region,Eltham North
MULTIPOLYGON,1,12,Metropolitan Region,Elwood
MULTIPOLYGON,1,0,Metropolitan Region,Emerald (Vic.)
MULTIPOLYGON,1,29,Metropolitan Region,Endeavour Hills
MULTIPOLYGON,1,32,Metropolitan Region,Epping (Vic.)
MULTIPOLYGON,1,47,Metropolitan Region,Essendon
MULTIPOLYGON,1,0,Metropolitan Region,Essendon Fields
MULTIPOLYGON,1,7,Metropolitan Region,Essendon North
MULTIPOLYGON,1,0,Metropolitan Region,Essendon West
MULTIPOLYGON,1,0,Metropolitan Region,Eumemmerring
MULTIPOLYGON,1,0,Metropolitan Region,Exford
MULTIPOLYGON,1,0,Metropolitan Region,Eynesbury
MULTIPOLYGON,1,24,Metropolitan Region,Fairfield (Vic.)
MULTIPOLYGON,1,11,Metropolitan Region,Fawkner
MULTIPOLYGON,1,0,Metropolitan Region,Fernshaw
MULTIPOLYGON,1,28,Metropolitan Region,Ferntree Gully
MULTIPOLYGON,1,0,Metropolitan Region,Ferny Creek
MULTIPOLYGON,1,0,Metropolitan Region,Fingal (Vic.)
MULTIPOLYGON,1,25,Metropolitan Region,Fitzroy (Vic.)
MULTIPOLYGON,1,12,Metropolitan Region,Fitzroy North
MULTIPOLYGON,1,19,Metropolitan Region,Flemington
MULTIPOLYGON,1,0,Metropolitan Region,Flinders (Vic.)
MULTIPOLYGON,1,228,Metropolitan Region,Footscray
MULTIPOLYGON,1,119,Metropolitan Region,Forest Hill (Vic.)
MULTIPOLYGON,1,81,Metropolitan Region,Frankston
MULTIPOLYGON,1,0,Metropolitan Region,Frankston North
MULTIPOLYGON,1,19,Metropolitan Region,Frankston South
MULTIPOLYGON,1,0,Metropolitan Region,Gaffneys Creek
MULTIPOLYGON,1,5,Metropolitan Region,Gardenvale
MULTIPOLYGON,1,0,Metropolitan Region,Garfield (Vic.)
MULTIPOLYGON,1,0,Metropolitan Region,Garfield North
MULTIPOLYGON,1,0,Metropolitan Region,Gembrook
MULTIPOLYGON,1,0,Metropolitan Region,Gentle Annie
MULTIPOLYGON,1,0,Metropolitan Region,Gilderoy
MULTIPOLYGON,1,8,Metropolitan Region,Gisborne
MULTIPOLYGON,1,0,Metropolitan Region,Gisborne South
MULTIPOLYGON,1,3,Metropolitan Region,Gladstone Park
MULTIPOLYGON,1,0,Metropolitan Region,Gladysdale
MULTIPOLYGON,1,191,Metropolitan Region,Glen Huntly
MULTIPOLYGON,1,149,Metropolitan Region,Glen Iris (Vic.)
MULTIPOLYGON,1,1091,Metropolitan Region,Glen Waverley
MULTIPOLYGON,1,58,Metropolitan Region,Glenroy (Vic.)
MULTIPOLYGON,1,3,Metropolitan Region,Gowanbrae
MULTIPOLYGON,1,14,Metropolitan Region,Greensborough
