,Suburb,School_Total,Crime Number,Buy Price 2017
414,PRINCES HILL,1.0,103,1800000
553,YALLAMBIE,1.0,102,781000
408,PORT FAIRY,2.0,101,497500
366,NATHALIA,4.0,101,227000
246,IVANHOE EAST,1.0,100,1934000
175,ELTHAM NORTH,4.0,99,900000
350,MOUNT DUNEED,1.0,98,500000
375,NHILL,3.0,95,126500
501,TOORADIN,1.0,95,617000
122,COHUNA,3.0,94,180000
69,BRIGHT,2.0,94,492500
332,MIRBOO NORTH,2.0,92,261000
153,DIMBOOLA,3.0,92,111000
337,MONT ALBERT NORTH,1.0,91,1555000
239,HUNTLY,1.0,91,335000
282,LANG LANG,1.0,89,390000
555,YARRA JUNCTION,4.0,89,515000
43,BEECHWORTH,3.0,89,397000
68,BRIAR HILL,2.0,88,831500
308,MANIFOLD HEIGHTS,2.0,87,727500
543,WILLIAMSTOWN NORTH,1.0,87,1175000
437,RUSHWORTH,2.0,87,192500
474,STRATHFIELDSAYE,2.0,87,455000
489,TECOMA,1.0,87,712500
394,OUYEN,1.0,87,130000
80,BUNYIP,2.0,86,440000
124,COLDSTREAM,1.0,85,595000
299,MACEDON,1.0,84,696000
454,SOLDIERS HILL,1.0,83,422000
12,ANGLESEA,1.0,83,790000
424,RIDDELLS CREEK,1.0,83,577500
532,WEDDERBURN,1.0,81,155000
335,MONBULK,4.0,81,608000
362,NAR NAR GOON,2.0,80,470000
531,WATSONIA NORTH,1.0,79,790000
1,ABERFELDIE,2.0,78,1407500
472,STRATFORD,2.0,78,265000
560,YEA,3.0,77,386500
232,HEYWOOD,2.0,76,164000
23,AVOCA,1.0,72,212500
292,LOCH SPORT,1.0,71,181000
421,RESEARCH,1.0,70,950000
330,MINERS REST,1.0,68,370000
405,POINT LONSDALE,1.0,68,803000
520,WANDIN NORTH,2.0,67,670000
97,CASTERTON,3.0,67,142000
265,KINGLAKE,1.0,66,460500
205,GLENROWAN,1.0,66,292500
115,CLUNES,1.0,65,230500
357,MURCHISON,1.0,65,254500
475,STRATHMERTON,1.0,65,140000
438,RUTHERGLEN,3.0,64,262000
41,BEAUFORT,1.0,64,220000
192,FOSTER,2.0,62,320000
369,NEW GISBORNE,2.0,62,626500
196,GARFIELD,1.0,60,377500
547,WONGA PARK,2.0,59,965000
550,WOORI YALLOCK,1.0,57,480000
138,CROYDON HILLS,3.0,54,870000
466,ST HELENA,1.0,54,893500
376,NICHOLS POINT,1.0,54,346000
417,QUEENSCLIFF,2.0,53,763000
272,KOROIT,2.0,52,325000
251,KANIVA,1.0,51,155000
241,INGLEWOOD,2.0,50,182500
449,SEVILLE,1.0,49,610000
396,PARK ORCHARDS,2.0,49,1437500
104,CHARLTON,2.0,48,136000
30,BALNARRING,1.0,48,815000
470,STANHOPE,1.0,46,181000
129,CORRYONG,2.0,46,184000
172,ELMORE,2.0,45,162000
304,MALLACOOTA,1.0,45,340000
171,EILDON,1.0,44,227500
346,MORTLAKE,2.0,43,175000
455,SOMERS,2.0,43,820000
165,DUNOLLY,1.0,43,179000
143,DARNUM,1.0,43,300500
368,NEERIM SOUTH,2.0,42,314000
249,KALORAMA,1.0,42,670000
40,BEACONSFIELD UPPER,1.0,42,693000
91,CARISBROOK,1.0,42,240000
536,WEST WODONGA,2.0,42,323000
125,COLERAINE,1.0,42,134000
87,CAMPBELLS CREEK,2.0,41,380000
384,NYAH WEST,1.0,41,133500
118,COBDEN,3.0,41,257500
325,METUNG,1.0,41,347500
305,MALMSBURY,1.0,40,445000
359,MURTOA,2.0,39,115000
109,CHILTERN,2.0,38,238500
528,WARRANWOOD,1.0,38,943500
497,TIMBOON,1.0,38,225000
214,HALLS GAP,1.0,37,270000
46,BELGRAVE SOUTH,1.0,37,689000
452,SHEPPARTON NORTH,1.0,37,337500
189,FLOWERDALE,1.0,37,310000
166,EAGLE POINT,1.0,36,252500
314,MARYSVILLE,1.0,36,381500
507,TRENTHAM,1.0,36,470000
353,MOUNT MACEDON,1.0,36,715000
277,LAKE GARDENS,1.0,35,461500
22,AVENEL,1.0,33,340000
62,BOOLARRA,1.0,33,252500
415,PYRAMID HILL,2.0,32,112500
140,DALYSTON,1.0,31,273500
385,NYORA,1.0,31,260000
204,GLENGARRY,1.0,31,310000
484,TALLANGATTA,3.0,31,275000
303,MALDON,1.0,31,425000
372,NEWHAVEN,1.0,30,447500
312,MARONG,1.0,30,348000
551,WYCHEPROOF,1.0,29,100000
500,TOORA,1.0,28,190000
419,RED HILL,1.0,28,790000
35,BARNAWARTHA,1.0,28,312000
248,JEPARIT,1.0,28,65000
155,DONALD,3.0,28,118500
374,NEWSTEAD,1.0,28,420000
348,MOUNT BEAUTY,2.0,27,258000
403,PENSHURST,2.0,27,125000
145,DEEPDENE,2.0,27,2862500
54,BIRCHIP,1.0,26,100000
219,HARCOURT,1.0,25,385000
276,LAKE BOGA,1.0,25,182500
271,KOONDROOK,1.0,25,245000
407,POREPUNKAH,1.0,24,436000
164,DUNKELD,1.0,24,210000
447,SEASPRAY,1.0,24,215000
331,MINYIP,1.0,23,94000
561,YINNAR,1.0,23,270000
235,HOPETOUN,1.0,23,88000
127,CORINELLA,1.0,23,398000
499,TOONGABBIE,1.0,23,286500
242,INVERLEIGH,1.0,21,472500
552,YACKANDANDAH,1.0,21,445500
442,SASSAFRAS,1.0,21,775000
517,VIOLET TOWN,1.0,21,217000
45,BELGRAVE HEIGHTS,1.0,20,687500
208,GORDON,2.0,20,416500
55,BIRREGURRA,1.0,20,382500
34,BARANDUDA,2.0,19,350000
317,MEENIYAN,1.0,19,244500
436,RUPANYUP,1.0,19,69500
453,SKIPTON,1.0,19,187500
169,EDENHOPE,2.0,18,160000
149,DENNINGTON,1.0,18,345000
518,WAHGUNYAH,1.0,18,270000
293,LOCKINGTON,1.0,18,149000
287,LENEVA,1.0,17,397500
406,POOWONG,1.0,16,286000
444,SEA LAKE,2.0,16,70000
324,MERRIGUM,1.0,15,135000
311,MARLO,1.0,15,432500
509,TUNGAMAH,1.0,15,162000
247,JAMIESON,1.0,13,266500
511,TYLDEN,1.0,12,412500
367,NATIMUK,1.0,12,250000
494,THE PATCH,2.0,11,665000
108,CHEWTON,1.0,11,316000
541,WILLAURA,1.0,10,100000
291,LISMORE,1.0,9,155000
121,COBURG EAST,1.0,9,865000
220,HARRIETVILLE,1.0,5,420000
412,PORTLAND NORTH,1.0,4,365000
285,LARA LAKE,1.0,4,450500
229,HEPBURN,1.0,3,435000
